timestamp,lidar_pose.x,lidar_pose.y,lidar_pose.z,lidar_pose.roll,lidar_pose.pitch,lidar_pose.yaw
1509348825.484613895,-11.1799373627,33.6586418152,1.7195805311,-0.0058223368,0.0428655586,-0.0344541671
1509348825.584732056,-11.1192321777,33.7767333984,1.7579128742,-0.0239201466,0.0477094540,-0.0215735836
1509348825.684779882,-11.2121438980,33.9929084778,1.7511659861,-0.0482247679,0.0522745544,-0.0231516034
1509348825.784881115,-11.1670284271,34.0699119568,1.6692142487,-0.0610258043,0.0434885857,-0.0260995901
1509348825.885114908,-11.1678237915,34.1858024597,1.5700386763,-0.0212020321,0.0212804483,-0.0006976592
1509348825.985204935,-11.2600803375,34.3326416016,1.6904913187,0.0275928089,-0.0072895346,-0.0004362646
1509348826.085228920,-11.2834329605,34.4783859253,1.7644277811,0.0185161511,-0.0189196003,0.0052790526
1509348826.185328960,-11.2633867264,34.5804290771,1.7645461559,-0.0008905706,-0.0215883990,0.0222567277
1509348826.285324097,-11.2564821243,34.7357177734,1.7360659838,-0.0131433276,-0.0102073720,0.0398538510
1509348826.385418892,-11.2695379257,34.9004325867,1.6695547104,-0.0016422591,0.0088020127,0.0418950411
1509348826.485605955,-11.2843589783,35.0047912598,1.7084890604,0.0198151896,0.0118130692,0.0414785687
1509348826.585618973,-11.2551431656,35.0829353333,1.7425785065,0.0119124510,0.0036931669,0.0614389769
1509348826.685666084,-11.2999038696,35.2639732361,1.7587214708,0.0022029691,-0.0065398103,0.0981583863
1509348826.785795927,-11.3542852402,35.4549980164,1.7423601151,-0.0167350250,-0.0123805945,0.1050037951
1509348826.886024952,-11.3883457184,35.5879249573,1.6764211655,-0.0209612860,-0.0232341340,0.0991489530
1509348826.985968113,-11.4882125854,35.7490615845,1.6344382763,0.0178856087,-0.0485610315,0.0795074917
1509348827.186155081,-11.5178632736,36.0237426758,1.8026039600,-0.0010336984,-0.0681157699,0.0289326897
1509348827.286120892,-11.4876813889,36.1437644958,1.7794209719,-0.0360578247,-0.0547455202,0.0206372897
1509348827.386379957,-11.5136899948,36.3175926208,1.7464271784,-0.0602109802,-0.0370429718,0.0133779105
1509348827.486495018,-11.5539751053,36.4781684875,1.6784261465,-0.0485433808,-0.0202208976,-0.0112285022
1509348827.586488008,-11.4951677322,36.5513076782,1.7361134291,-0.0316034735,-0.0264141844,-0.0410070302
1509348827.686590910,-11.4704799652,36.6335220337,1.7749928236,-0.0441064287,-0.0386631740,-0.0325757549
1509348827.786631107,-11.4810495377,36.8130340576,1.7705993652,-0.0586284088,-0.0415236194,-0.0174667973
1509348827.886809111,-11.5181446075,36.9765243530,1.7369390726,-0.0706031491,-0.0437498126,-0.0221221832
1509348827.986855030,-11.5686693192,37.1113700867,1.6447659731,-0.0498595686,-0.0617067064,-0.0426793210
1509348828.086813927,-11.5919284821,37.2177047729,1.6979373693,0.0124855728,-0.0743055279,-0.0730834100
